seed,amplitude,snr,method,solver,protocol,distance,lam,penalty,sample_size,max_iterations,shrink,device,backend,field_scale,field_terms,loss,unexplained_pct,rms_log,planted_cv_pct,floor_pct,unexplained_brain_pct,rms_log_brain,planted_cv_brain_pct,floor_brain_pct,iterations,seconds,baseline_seconds,timestamp,git_commit,torch_version,host
7,0.4,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,6.72527,0.0696129,10.1879,0.00663565,4.01349,0.0408058,8.59942,0.00565098,30,0.684,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
7,0.8,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,10.4495,0.110489,20.6432,0.0154814,6.01901,0.0621483,17.3717,0.0139716,30,0.685,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
7,0.8,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,10.6467,0.11225,20.6432,0.0154814,6.28932,0.064787,17.3717,0.0139716,30,0.685,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
7,0.8,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,11.0209,0.115596,20.6432,0.0154814,6.81777,0.0700724,17.3717,0.0139716,30,0.686,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
8,0.2,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,2.05951,0.020839,4.18503,0.00217594,1.12452,0.0111978,3.35071,0.00130623,30,0.683,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
8,0.2,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,2.61154,0.0266229,4.18503,0.00217594,1.37507,0.0138202,3.35071,0.00130623,30,0.683,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
8,0.2,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,5.18065,0.052705,4.18503,0.00217594,3.16568,0.0318845,3.35071,0.00130623,30,0.685,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
8,0.4,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,4.13036,0.0419684,8.39204,0.00468117,2.55306,0.025224,6.70955,0.00318396,30,0.681,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
8,0.4,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,4.5112,0.0463354,8.39204,0.00468117,2.5016,0.0250725,6.70955,0.00318396,30,0.683,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
8,0.4,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,6.0935,0.0628533,8.39204,0.00468117,3.53088,0.0357537,6.70955,0.00318396,30,0.684,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
