seed,amplitude,snr,solver,protocol,distance,lam,shrink,device,backend,field_scale,field_terms,unexplained_pct,rms_log,planted_cv_pct,floor_pct,unexplained_brain_pct,rms_log_brain,planted_cv_brain_pct,floor_brain_pct,iterations,seconds,baseline_seconds,timestamp,git_commit,torch_version,host
1,0.2,40,normal,fixed30,50,1e-06,4,cpu,torch,400,8,3.00033,0.0303614,3.9497,0.00656223,1.70517,0.017222,2.80681,0.00411138,30,4.692,4.532,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,inf,normal,fixed30,50,1e-06,4,cpu,torch,400,8,2.22304,0.02198,3.87511,0.00601983,1.04007,0.0103826,3.28263,0.00321738,30,4.53,4.532,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,40,normal,fixed30,50,1e-06,4,cpu,torch,400,8,2.64651,0.0266304,3.87511,0.00601983,1.49226,0.0150486,3.28263,0.00321738,30,4.774,4.532,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,inf,normal,fixed30,50,1e-06,4,cpu,torch,400,8,2.01717,0.0203158,3.96223,0.00351417,0.88586,0.00891211,2.92538,0.00212947,30,4.684,4.532,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,40,normal,fixed30,50,1e-06,4,cpu,torch,400,8,2.43141,0.02462,3.96223,0.00351417,1.32996,0.0134313,2.92538,0.00212947,30,4.783,4.532,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,inf,normal,fixed30,50,1e-05,4,cpu,torch,400,8,1.78245,0.0180122,3.9497,0.0212306,0.833898,0.00837327,2.80681,0.0128268,30,4.654,4.464,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,40,normal,fixed30,50,1e-05,4,cpu,torch,400,8,2.63631,0.0265407,3.9497,0.0212306,1.56515,0.0157203,2.80681,0.0128268,30,4.9,4.464,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,inf,normal,fixed30,50,1e-05,4,cpu,torch,400,8,1.92813,0.0190852,3.87511,0.0207403,1.0142,0.0100816,3.28263,0.0106253,30,4.701,4.464,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,40,normal,fixed30,50,1e-05,4,cpu,torch,400,8,2.2153,0.0222201,3.87511,0.0207403,1.3171,0.0132235,3.28263,0.0106253,30,5.119,4.464,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,inf,normal,fixed30,50,1e-05,4,cpu,torch,400,8,1.66561,0.0167381,3.96223,0.0115302,0.763773,0.00763964,2.92538,0.00710664,30,4.653,4.464,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,40,normal,fixed30,50,1e-05,4,cpu,torch,400,8,2.08311,0.0210377,3.96223,0.0115302,1.15278,0.0115906,2.92538,0.00710664,30,4.105,4.464,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,inf,normal,fixed30,50,0.0001,4,cpu,torch,400,8,1.69425,0.0171168,3.9497,0.0817522,0.886243,0.00889945,2.80681,0.0367521,30,3.879,4.132,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,40,normal,fixed30,50,0.0001,4,cpu,torch,400,8,2.29014,0.0230801,3.9497,0.0817522,1.34617,0.0134823,2.80681,0.0367521,30,4.121,4.132,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,inf,normal,fixed30,50,0.0001,4,cpu,torch,400,8,1.57326,0.0156495,3.87511,0.0776821,1.06665,0.0106151,3.28263,0.0288635,30,4.037,4.132,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,40,normal,fixed30,50,0.0001,4,cpu,torch,400,8,1.7723,0.0177251,3.87511,0.0776821,1.19969,0.0119963,3.28263,0.0288635,30,4.066,4.132,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,inf,normal,fixed30,50,0.0001,4,cpu,torch,400,8,1.42712,0.0143892,3.96223,0.0404905,0.786076,0.00788006,2.92538,0.0196974,30,4.159,4.132,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,40,normal,fixed30,50,0.0001,4,cpu,torch,400,8,1.8072,0.0182382,3.96223,0.0404905,1.04509,0.0104881,2.92538,0.0196974,30,4.236,4.132,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
