seed,amplitude,snr,solver,protocol,distance,lam,shrink,device,backend,field_scale,field_terms,unexplained_pct,rms_log,planted_cv_pct,floor_pct,unexplained_brain_pct,rms_log_brain,planted_cv_brain_pct,floor_brain_pct,iterations,seconds,baseline_seconds,timestamp,git_commit,torch_version,host
7,0.2,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,3.00491,0.0308229,5.05801,0.00312917,1.54989,0.0156662,4.27706,0.00246918,30,3.079,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
7,0.2,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,5.17439,0.0527294,5.05801,0.00312917,3.25352,0.0328732,4.27706,0.00246918,30,3.424,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
7,0.4,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,4.69458,0.0486099,10.1879,0.00663565,2.17005,0.0220094,8.59942,0.00565098,30,3.439,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
7,0.4,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,5.21697,0.0541065,10.1879,0.00663565,2.6407,0.0268632,8.59942,0.00565098,30,3.189,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
7,0.4,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,6.72517,0.0696118,10.1879,0.00663565,4.01348,0.0408058,8.59942,0.00565098,30,3.63,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
7,0.8,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,10.4496,0.11049,20.6432,0.0154814,6.01905,0.0621487,17.3717,0.0139716,30,3.096,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
7,0.8,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,10.6464,0.112248,20.6432,0.0154814,6.28916,0.0647854,17.3717,0.0139716,30,3.137,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
7,0.8,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,11.0211,0.115597,20.6432,0.0154814,6.81795,0.0700741,17.3717,0.0139716,30,3.316,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
8,0.2,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.05982,0.0208423,4.18503,0.00217594,1.12456,0.0111982,3.35071,0.00130623,30,3.439,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
8,0.2,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.61138,0.0266213,4.18503,0.00217594,1.37496,0.0138191,3.35071,0.00130623,30,3.59,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
8,0.2,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,5.18144,0.0527145,4.18503,0.00217594,3.16557,0.0318843,3.35071,0.00130623,30,3.682,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
8,0.4,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,4.13044,0.0419692,8.39204,0.00468117,2.55311,0.0252245,6.70955,0.00318396,30,3.52,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
8,0.4,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,4.51124,0.0463358,8.39204,0.00468117,2.50158,0.0250723,6.70955,0.00318396,30,3.338,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
8,0.4,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,6.22297,0.0642091,8.39204,0.00468117,3.53952,0.0358419,6.70955,0.00318396,30,3.505,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
8,0.8,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,8.83384,0.0905409,16.8781,0.0116011,5.48745,0.0539048,13.4553,0.00958733,30,3.147,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
8,0.8,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,8.93876,0.0921455,16.8781,0.0116011,5.31061,0.05269,13.4553,0.00958733,30,2.932,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
8,0.8,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,9.35574,0.0973767,16.8781,0.0116011,5.41719,0.0545911,13.4553,0.00958733,30,2.966,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
9,0.2,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.86236,0.029058,5.10647,0.00625156,1.14174,0.0114976,4.26559,0.00622246,30,2.783,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
9,0.2,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,3.52994,0.0359711,5.10647,0.00625156,1.64868,0.0166134,4.26559,0.00622246,30,2.94,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
9,0.2,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,6.07613,0.0613214,5.10647,0.00625156,3.75027,0.0376609,4.26559,0.00622246,30,3.757,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
9,0.4,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,7.24085,0.0750735,10.3212,0.0156022,3.83189,0.0389794,8.62854,0.0160915,30,3.355,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
9,0.4,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,7.80806,0.0807947,10.3212,0.0156022,4.3246,0.0438871,8.62854,0.0160915,30,3.758,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
9,0.4,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,8.40494,0.0865405,10.3212,0.0156022,5.03351,0.0508931,8.62854,0.0160915,30,5.062,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
9,0.8,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,11.8792,0.126156,21.0496,0.0420231,6.92254,0.0724066,17.644,0.04379,30,4.208,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
9,0.8,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,12.0745,0.128254,21.0496,0.0420231,7.19615,0.0752932,17.644,0.04379,30,4.058,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
9,0.8,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,12.2593,0.130224,21.0496,0.0420231,7.47864,0.0782135,17.644,0.04379,30,3.915,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
10,0.2,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.10286,0.0207865,4.29961,0.00355008,0.965108,0.00964192,3.72893,0.0032509,30,3.685,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
10,0.2,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.46127,0.0248619,4.29961,0.00355008,1.47479,0.0149002,3.72893,0.0032509,30,4.195,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
10,0.2,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,4.81793,0.0486405,4.29961,0.00355008,3.34959,0.0339039,3.72893,0.0032509,30,4.368,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
10,0.4,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,4.32224,0.0432336,8.6009,0.00686183,2.30848,0.0233982,7.43999,0.00585708,30,3.954,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
10,0.4,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,4.72077,0.0478705,8.6009,0.00686183,2.84934,0.029074,7.43999,0.00585708,30,3.905,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
10,0.4,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,6.00453,0.0610992,8.6009,0.00686183,4.02248,0.0410217,7.43999,0.00585708,30,3.773,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
10,0.8,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,9.18999,0.0925195,17.2108,0.0134552,5.0997,0.0522465,14.8099,0.00995171,30,4.299,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
10,0.8,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,9.43741,0.0953585,17.2108,0.0134552,5.3647,0.0550257,14.8099,0.00995171,30,3.928,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
10,0.8,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,9.73637,0.0986447,17.2108,0.0134552,5.87181,0.060169,14.8099,0.00995171,30,4.208,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
11,0.2,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,1.4461,0.0143659,4.13092,0.00249512,0.539716,0.00537886,3.25046,0.00198902,30,4.159,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
11,0.2,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,1.75804,0.017737,4.13092,0.00249512,0.916528,0.00921917,3.25046,0.00198902,30,3.726,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
11,0.2,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,4.15579,0.0419496,4.13092,0.00249512,2.76603,0.0278419,3.25046,0.00198902,30,4.557,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
11,0.4,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,3.48482,0.03453,8.14426,0.00511966,1.31378,0.0131192,6.441,0.00393651,30,4.282,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
11,0.4,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,3.82375,0.0384521,8.14426,0.00511966,1.72147,0.0173894,6.441,0.00393651,30,3.809,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
11,0.4,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,5.55258,0.0565894,8.14426,0.00511966,3.35204,0.0339077,6.441,0.00393651,30,4.292,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
11,0.8,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,9.00373,0.0907657,15.8344,0.0134185,4.30901,0.043496,12.6463,0.0103901,30,3.622,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
11,0.8,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,9.26217,0.0935666,15.8344,0.0134185,4.60791,0.0465794,12.6463,0.0103901,30,3.439,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
11,0.8,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,9.7097,0.0986999,15.8344,0.0134185,5.178,0.0525372,12.6463,0.0103901,30,3.842,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
12,0.2,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.29432,0.0234522,4.05114,0.00385829,1.0959,0.0110712,3.24863,0.00302982,30,3.589,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
12,0.2,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,3.26841,0.033413,4.05114,0.00385829,1.82185,0.0184544,3.24863,0.00302982,30,3.702,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
12,0.2,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,5.74373,0.0581507,4.05114,0.00385829,3.72211,0.0376278,3.24863,0.00302982,30,3.32,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
12,0.4,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,4.56326,0.0472011,8.20754,0.00696482,2.2577,0.0229779,6.54936,0.00432617,30,3.301,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
12,0.4,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,5.62919,0.0580664,8.20754,0.00696482,3.13737,0.0319897,6.54936,0.00432617,30,3.036,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
12,0.4,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,7.53341,0.0769952,8.20754,0.00696482,4.65613,0.0473159,6.54936,0.00432617,30,3.207,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
12,0.8,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,9.03205,0.0946701,16.8609,0.0255927,5.0162,0.0518207,13.3153,0.0231804,30,3.293,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
12,0.8,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,9.6091,0.10053,16.8609,0.0255927,5.49528,0.0566999,13.3153,0.0231804,30,3.459,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
12,0.8,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,10.2068,0.106307,16.8609,0.0255927,6.21576,0.063892,13.3153,0.0231804,30,3.311,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
