seed,amplitude,snr,protocol,rel_rms_torch_cxx_mask,rel_rms_torch_truth_mask,rel_rms_cxx_truth_mask,rel_rms_torch_cxx_brain,rel_rms_torch_truth_brain,rel_rms_cxx_truth_brain,distance,lam,shrink,field_scale,field_terms,timestamp,git_commit,host
21,0.4,inf,v1.1,8.78556e-11,0.00463442,0.00463442,3.80375e-11,0.00226787,0.00226787,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
22,0.4,inf,v1.1,6.16092e-11,0.00178337,0.00178337,3.38152e-11,0.00130663,0.00130663,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
23,0.4,inf,v1.1,4.71209e-11,0.00149323,0.00149323,3.10664e-11,0.00127406,0.00127406,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
24,0.4,inf,v1.1,1.41991e-10,0.00141583,0.00141583,9.60063e-11,0.00105555,0.00105555,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
25,0.4,inf,v1.1,1.19678e-10,0.00493901,0.00493901,8.52012e-11,0.00374509,0.00374509,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
26,0.4,inf,v1.1,3.94707e-11,0.00241605,0.00241605,1.80549e-11,0.00148893,0.00148893,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
27,0.4,inf,v1.1,3.69685e-11,0.00163513,0.00163513,2.29518e-11,0.00119354,0.00119354,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
28,0.4,inf,v1.1,1.77314e-10,0.00278641,0.00278641,1.16584e-10,0.00151813,0.00151813,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
29,0.4,inf,v1.1,4.91971e-11,0.0017962,0.0017962,2.99352e-11,0.00122374,0.00122374,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
30,0.4,inf,v1.1,5.78567e-11,0.00299303,0.00299303,4.55054e-11,0.00145203,0.00145203,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
31,0.4,inf,v1.1,7.65386e-11,0.00111388,0.00111388,5.18587e-11,0.000862028,0.000862028,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
32,0.4,inf,v1.1,7.06284e-11,0.00339624,0.00339624,2.51283e-11,0.00221032,0.00221032,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
33,0.4,inf,v1.1,8.62665e-11,0.00225311,0.00225311,5.21209e-11,0.00166898,0.00166898,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
34,0.4,inf,v1.1,4.77264e-11,0.00230024,0.00230024,2.70238e-11,0.00160902,0.00160902,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
35,0.4,inf,v1.1,4.92143e-11,0.00336375,0.00336375,3.56924e-11,0.00272873,0.00272873,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
36,0.4,inf,v1.1,5.66349e-11,0.00279231,0.00279231,2.72966e-11,0.00196499,0.00196499,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
37,0.4,inf,v1.1,7.68183e-11,0.0026885,0.0026885,4.35626e-11,0.00180244,0.00180244,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
38,0.4,inf,v1.1,6.26551e-11,0.0042235,0.0042235,2.96092e-11,0.00322597,0.00322597,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
39,0.4,inf,v1.1,8.5262e-11,0.00208598,0.00208598,6.21248e-11,0.00129033,0.00129033,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
40,0.4,inf,v1.1,9.87304e-11,0.00246876,0.00246876,5.36093e-11,0.00146423,0.00146423,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
41,0.4,inf,v1.1,7.59054e-11,0.00211819,0.00211819,5.20823e-11,0.00165886,0.00165886,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
42,0.4,inf,v1.1,1.20497e-10,0.00220276,0.00220276,7.24246e-11,0.00128809,0.00128809,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
43,0.4,inf,v1.1,7.56019e-11,0.00396921,0.00396921,4.04785e-11,0.00270369,0.00270369,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
44,0.4,inf,v1.1,3.87684e-11,0.00171783,0.00171783,2.37749e-11,0.00122326,0.00122326,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
45,0.4,inf,v1.1,7.5791e-11,0.00900068,0.00900068,3.77256e-11,0.00541946,0.00541946,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
46,0.4,inf,v1.1,6.31919e-11,0.001427,0.001427,4.64846e-11,0.00109385,0.00109385,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
47,0.4,inf,v1.1,4.56327e-11,0.00212522,0.00212522,2.89224e-11,0.00128387,0.00128387,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
48,0.4,inf,v1.1,1.13719e-10,0.00143431,0.00143431,6.66786e-11,0.000974421,0.000974421,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
49,0.4,inf,v1.1,1.31451e-10,0.00334094,0.00334094,7.36793e-11,0.00215346,0.00215346,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
50,0.4,inf,v1.1,7.98606e-11,0.00297767,0.00297767,2.82249e-11,0.00202655,0.00202655,200,1e-07,4,400,8,2026-08-06T15:35:15,b653c2e,gonzalo
